,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
0,0,3,0,1,Naive
1,0,3,0,0,Naive
2,0,4,0,0,Naive
3,0,1,0,1,Naive
4,0,2,0,0,Naive
5,0,0,0,1,Naive
6,0,2,0,0,Naive
7,0,1,0,0,Naive
8,0,0,0,0,Naive
9,1,0,0,1,Naive
10,0,4,0,0,Naive
11,0,1,0,0,Naive
12,0,2,0,0,Naive
13,0,1,0,0,Naive
14,0,0,0,1,Naive
15,0,2,0,0,Naive
16,0,1,0,0,Naive
17,0,1,0,0,Naive
18,1,0,0,1,Naive
19,0,1,0,1,Naive
20,1,1,0,1,Naive
21,0,2,0,0,Naive
22,0,0,0,1,Naive
23,0,0,0,3,Naive
24,2,2,0,1,Naive
25,0,0,0,2,Naive
26,0,1,0,1,Naive
27,0,1,0,1,Naive
28,1,0,1,1,Naive
29,0,0,0,0,Naive
30,0,1,0,0,Naive
31,1,2,0,2,Naive
32,0,0,1,0,Naive
33,0,1,0,0,Naive
34,0,2,1,0,Naive
35,0,1,0,0,Naive
36,0,0,0,1,Naive
37,0,1,0,0,Naive
38,0,2,0,0,Naive
39,0,1,0,0,Naive
40,1,0,0,0,Naive
41,0,1,0,0,Naive
42,0,1,0,0,Naive
43,0,1,0,0,Naive
44,0,0,0,1,Naive
45,1,0,0,1,Naive
46,0,0,0,0,Naive
47,0,1,0,0,Naive
48,0,1,0,0,Naive
49,0,0,0,0,Naive
50,0,1,0,0,Naive
51,2,0,0,0,Naive
52,0,1,0,0,Naive
53,0,2,1,0,Naive
54,0,1,0,0,Naive
55,0,1,0,1,Naive
56,1,1,0,0,Naive
57,0,0,0,1,Naive
58,0,1,0,0,Naive
59,0,1,0,0,Naive
60,0,2,0,1,Naive
61,2,0,0,0,Naive
62,0,0,0,1,Naive
63,0,1,0,0,Naive
64,0,0,0,1,Naive
65,0,1,0,0,Naive
66,0,0,0,0,Naive
67,0,0,0,0,Naive
68,0,0,0,1,Naive
69,0,0,0,0,Naive
70,0,3,0,0,Naive
71,0,1,0,0,Naive
72,0,2,0,0,Naive
73,0,1,0,0,Naive
74,0,1,0,0,Naive
75,0,1,0,0,Naive
76,1,1,0,2,Naive
77,0,1,0,0,Naive
78,0,3,0,1,Naive
79,0,3,0,0,Naive
80,0,1,0,0,Naive
81,0,3,0,0,Naive
82,0,1,0,0,Naive
83,0,2,0,0,Naive
84,0,3,0,0,Naive
85,0,0,0,1,Naive
86,0,0,1,0,Naive
87,0,3,1,0,Naive
88,0,1,1,0,Naive
89,0,1,0,0,Naive
90,0,4,2,1,Naive
91,0,1,1,0,Naive
92,0,3,2,1,Naive
93,0,2,1,0,Naive
94,0,3,0,0,Naive
95,0,0,8,0,Naive
96,0,0,4,0,Naive
97,0,2,1,0,Naive
98,0,2,2,0,Naive
99,0,4,1,0,Naive
100,0,2,8,0,Naive
101,0,1,0,0,Naive
102,0,0,2,0,Naive
103,0,1,1,0,Naive
104,0,4,2,0,Naive
105,0,0,2,1,Naive
106,0,3,3,0,Naive
107,0,2,2,1,Naive
108,0,4,2,0,Naive
109,0,1,3,0,Naive
110,0,2,0,0,Naive
111,0,0,2,0,Naive
112,0,0,1,0,Naive
113,0,2,1,2,Naive
114,0,4,2,0,Naive
115,0,1,1,1,Naive
116,0,2,0,0,Naive
117,0,1,0,0,Naive
118,0,4,0,0,Naive
119,0,2,5,0,Naive
120,0,3,0,0,Naive
121,0,0,0,0,Naive
122,0,10,3,0,Naive
123,0,3,4,0,Naive
124,0,7,1,0,Naive
125,0,3,3,1,Naive
126,0,4,7,0,Naive
127,0,3,0,0,Naive
128,0,6,4,0,Naive
129,0,1,0,0,Naive
130,0,2,0,0,Naive
131,0,10,5,0,Naive
132,0,5,6,0,Naive
133,0,3,5,0,Naive
134,0,1,2,0,Naive
135,0,6,3,2,Naive
136,0,0,1,1,Naive
137,0,2,6,0,Naive
138,0,2,4,1,Naive
139,0,2,1,0,Naive
140,0,4,9,0,Naive
141,0,3,5,0,Naive
142,0,0,2,1,Naive
143,0,5,0,0,Naive
144,0,2,6,0,Naive
145,0,3,5,0,Naive
146,0,0,3,0,Naive
147,0,1,0,0,Naive
148,0,2,2,0,Naive
149,0,1,1,0,Naive
150,0,1,0,1,Naive
151,0,2,5,1,Naive
152,0,0,0,2,Naive
153,0,2,4,0,Naive
154,0,0,3,0,Naive
155,0,1,2,0,Naive
156,0,2,5,0,Naive
157,0,4,3,0,Naive
158,0,1,1,1,Naive
159,0,1,3,0,Naive
160,0,2,0,0,Naive
161,0,3,7,0,Naive
162,0,0,2,0,Naive
163,0,4,4,0,Naive
164,0,4,1,0,Naive
165,0,2,0,1,Naive
166,0,3,4,0,Naive
167,0,5,4,0,Naive
168,2,2,2,0,Naive
169,0,1,4,0,Naive
170,0,1,3,0,Naive
171,0,3,3,0,Naive
172,0,1,0,0,Naive
173,0,0,0,2,Naive
174,0,0,0,1,Naive
175,0,1,3,0,Naive
176,0,0,6,0,Naive
177,0,2,0,0,Naive
178,0,0,0,0,Naive
179,0,0,0,0,Naive
180,0,1,3,0,Naive
181,0,6,6,0,Naive
182,0,1,0,0,Naive
183,0,5,1,0,Naive
184,1,0,1,0,Naive
185,0,1,0,0,Naive
186,0,1,2,0,Naive
187,0,1,5,0,Naive
188,0,2,3,0,Naive
189,0,4,1,0,Naive
190,0,3,0,0,Naive
191,0,2,1,1,Naive
192,0,0,0,0,Naive
193,0,3,0,1,Naive
194,0,1,0,0,Naive
195,0,6,3,0,Naive
196,0,3,2,0,Naive
197,0,1,0,0,Naive
198,0,1,0,0,Naive
199,0,0,0,0,Naive
200,0,1,1,0,Naive
201,0,2,0,0,Naive
202,0,8,0,0,Naive
203,0,0,0,0,Naive
204,0,3,0,0,Naive
205,0,5,0,0,Naive
206,0,4,0,0,Naive
207,0,3,0,0,Naive
208,0,3,0,0,Naive
209,0,7,0,0,Naive
210,0,6,0,0,Naive
211,0,1,0,0,Naive
212,0,4,0,0,Naive
213,0,2,0,0,Naive
214,0,1,0,0,Naive
215,0,0,0,0,Naive
216,0,6,0,0,Naive
217,0,0,0,0,Naive
218,0,1,0,0,Naive
219,0,3,0,0,Naive
220,0,5,0,0,Naive
221,0,1,0,1,Naive
222,0,1,0,0,Naive
223,0,1,0,2,Naive
224,0,4,0,1,Naive
225,0,0,0,1,Naive
226,0,4,0,0,Naive
227,0,6,0,0,Naive
228,0,3,1,1,Naive
229,0,4,0,1,Naive
230,0,3,0,2,Naive
231,0,1,0,0,Naive
232,0,8,0,0,Naive
233,0,3,0,2,Naive
234,0,2,0,0,Naive
235,1,1,0,0,Naive
236,0,5,0,0,Naive
237,0,0,0,0,Naive
238,0,0,0,1,Naive
239,0,1,0,0,Naive
240,0,1,0,0,Naive
241,0,4,0,0,Naive
242,0,1,0,0,Naive
243,0,1,0,0,Naive
244,0,2,0,0,Naive
245,0,3,0,0,Naive
246,0,0,0,1,Naive
247,0,7,0,0,Naive
248,0,1,0,0,Naive
249,0,0,0,0,Naive
250,0,1,0,0,Naive
251,0,2,0,1,Naive
252,0,9,0,1,Naive
253,0,3,0,0,Naive
254,2,0,0,0,Naive
255,0,3,0,0,Naive
256,0,6,0,0,Naive
257,0,3,1,0,Naive
258,0,2,0,1,Naive
259,0,2,0,0,Naive
260,0,1,0,1,Naive
261,0,0,0,0,Naive
262,0,4,0,0,Naive
263,0,4,0,0,Naive
264,0,2,0,2,Naive
265,0,3,0,0,Naive
266,0,3,0,0,Naive
267,0,1,0,0,Naive
268,0,7,0,0,Naive
269,0,3,0,1,Naive
270,0,5,0,0,Naive
271,0,5,0,1,Naive
272,0,3,0,0,Naive
273,0,3,0,0,Naive
274,0,0,1,0,Naive
275,0,2,0,0,Naive
276,0,1,0,0,Naive
277,0,2,0,0,Naive
278,0,2,0,0,Naive
279,0,3,0,0,Naive
280,0,1,0,0,Naive
281,0,2,0,0,Naive
282,0,2,0,2,Naive
283,0,1,0,0,Naive
284,0,1,0,1,Naive
285,0,2,0,1,Naive
286,0,2,0,0,Naive
287,0,0,1,0,Naive
288,0,1,0,1,Naive
289,0,0,0,4,Naive
290,0,4,0,0,Naive
291,2,1,0,0,Naive
292,0,0,0,1,Naive
293,0,4,1,0,Naive
294,0,1,0,0,Naive
295,0,1,0,0,Naive
296,0,1,1,1,Naive
297,0,5,1,0,Naive
298,0,0,0,1,Naive
299,1,0,1,1,Naive
300,0,0,1,0,Naive
301,0,1,0,0,Naive
302,0,1,0,0,Naive
303,0,1,0,0,Naive
304,1,0,1,2,Naive
305,0,1,0,0,Naive
306,0,1,0,0,Naive
307,3,0,0,2,Naive
308,1,1,0,0,Naive
309,0,0,0,0,Naive
310,0,1,0,0,Naive
311,0,0,0,1,Naive
312,0,0,0,1,Naive
313,1,0,0,0,Naive
314,1,0,0,2,Naive
315,0,1,0,0,Naive
316,0,1,0,6,Naive
317,0,2,0,0,Naive
318,0,0,0,0,Naive
319,0,1,0,2,Naive
320,0,1,0,0,Naive
321,0,0,0,1,Naive
322,0,0,0,1,Naive
323,1,0,0,2,Naive
324,1,0,0,0,Naive
325,1,0,0,0,Naive
326,0,1,0,0,Naive
327,0,2,0,0,Naive
328,0,3,0,1,Naive
329,0,0,0,0,Naive
330,0,2,0,0,Naive
331,0,3,0,0,Naive
332,0,0,0,1,Naive
333,0,1,0,1,Naive
334,0,1,0,0,Naive
335,1,2,0,0,Naive
336,0,1,0,0,Naive
337,0,2,0,0,Naive
338,0,0,0,0,Naive
339,0,1,0,0,Naive
340,0,0,0,0,Naive
341,0,1,0,0,Naive
342,1,2,0,0,Naive
343,0,0,0,0,Naive
344,0,0,0,0,Naive
345,0,0,0,0,Naive
346,0,1,0,1,Naive
347,0,1,0,0,Naive
348,0,0,1,0,Naive
349,0,1,0,0,Naive
350,0,1,0,0,Naive
351,1,0,0,0,Naive
352,1,0,0,1,Naive
353,0,3,0,0,Naive
354,0,4,0,1,Naive
355,0,1,0,0,Naive
356,0,2,0,0,Naive
357,0,1,0,0,Naive
358,0,1,0,0,Naive
359,0,1,0,0,Naive
360,0,1,0,0,Naive
361,0,0,0,2,Naive
362,0,4,0,0,Naive
363,0,1,0,0,Naive
364,0,2,0,1,Naive
365,0,1,0,0,Naive
366,0,1,0,0,Naive
367,0,2,0,0,Naive
368,0,0,0,1,Naive
369,0,2,0,0,Naive
370,1,2,0,0,Naive
371,0,0,0,0,Naive
372,0,1,0,0,Naive
373,0,1,0,0,Naive
374,3,0,0,0,Naive
375,0,1,0,0,Naive
376,0,1,0,0,Naive
377,0,2,0,0,Naive
378,0,0,0,0,Naive
379,0,3,0,0,Naive
380,0,2,0,0,Naive
381,0,1,0,0,Naive
382,0,4,0,0,Naive
383,0,1,0,0,Naive
384,0,2,0,1,Naive
385,0,1,0,0,Naive
386,1,3,0,0,Naive
387,0,0,0,0,Naive
388,0,0,0,0,Naive
389,0,2,0,0,Naive
390,0,5,0,0,Naive
391,0,2,0,0,Naive
392,0,6,0,0,Naive
393,0,3,1,1,Naive
394,0,8,0,1,Naive
395,0,1,0,0,Naive
396,0,2,0,0,Naive
397,0,1,0,0,Naive
398,0,2,0,0,Naive
399,0,4,0,0,Naive
400,0,1,0,0,Naive
401,0,0,0,0,Naive
402,0,1,0,0,Naive
403,0,1,0,0,Naive
404,0,1,0,0,Naive
405,0,5,0,0,Naive
406,0,1,0,0,Naive
407,0,2,0,0,Naive
408,0,1,0,0,Naive
409,0,1,0,2,Naive
410,0,1,0,0,Naive
411,0,1,0,0,Naive
412,0,3,0,0,Naive
413,0,0,0,0,Naive
414,0,1,0,0,Naive
415,0,3,0,0,Naive
416,0,1,0,0,Naive
417,0,1,0,0,Naive
418,0,0,0,0,Naive
419,0,3,0,0,Naive
420,0,2,0,0,Naive
421,0,1,0,0,Naive
422,0,1,0,0,Naive
423,0,0,0,1,Naive
424,0,3,0,0,Naive
425,0,1,0,0,Naive
426,0,2,0,0,Naive
427,0,1,0,0,Naive
428,0,0,1,0,Naive
429,0,1,0,0,Naive
430,0,2,0,0,Naive
431,0,1,0,0,Naive
432,0,0,0,1,Naive
433,0,1,0,0,Naive
434,0,1,0,0,Naive
435,0,2,0,0,Naive
436,0,2,0,0,Naive
437,0,2,0,0,Naive
438,0,1,0,0,Naive
439,0,1,0,0,Naive
440,0,0,0,0,Naive
441,0,1,0,1,Naive
442,0,2,0,0,Naive
443,0,3,0,0,Naive
444,0,2,0,0,Naive
445,0,4,0,0,Naive
446,0,1,0,0,Naive
447,0,1,0,0,Naive
448,0,0,0,0,Naive
449,1,0,0,0,Naive
450,0,1,0,0,Naive
451,1,0,0,1,Naive
452,0,0,0,0,Naive
453,0,1,0,0,Naive
454,0,0,0,1,Naive
455,0,1,0,0,Naive
456,0,1,0,0,Naive
457,0,1,0,0,Naive
458,0,1,0,0,Naive
459,0,1,0,0,Naive
460,0,1,0,0,Naive
461,0,1,0,0,Naive
462,0,1,0,0,Naive
463,0,0,0,0,Naive
464,0,4,0,0,Naive
465,2,1,0,0,Naive
466,0,0,1,0,Naive
467,0,2,0,2,Naive
468,0,1,0,1,Naive
469,0,0,1,2,Naive
470,0,0,1,0,Naive
471,0,3,0,1,Naive
472,0,0,0,1,Naive
473,0,1,0,0,Naive
474,0,1,0,0,Naive
475,0,3,0,0,Naive
476,3,1,0,1,Naive
477,0,1,0,0,Naive
478,0,1,0,0,Naive
479,2,0,0,3,Naive
480,0,2,0,0,Naive
481,0,1,0,0,Naive
482,0,2,0,0,Naive
483,0,0,0,1,Naive
484,0,1,0,0,Naive
485,0,1,0,0,Naive
486,0,1,0,0,Naive
487,0,1,0,0,Naive
488,0,1,0,0,Naive
489,0,1,0,0,Naive
490,0,1,0,0,Naive
491,0,1,0,1,Naive
492,0,1,0,0,Naive
493,0,1,0,0,Naive
494,0,1,0,0,Naive
495,0,4,0,1,Naive
496,0,1,0,0,Naive
497,0,1,0,0,Naive
498,0,4,0,0,Naive
499,0,1,0,0,Naive
500,0,1,0,0,Naive
501,0,1,0,1,Naive
502,0,2,0,0,Naive
503,0,1,0,0,Naive
504,0,2,0,0,Naive
505,0,0,0,1,Naive
506,0,3,0,2,Naive
507,0,1,0,0,Naive
508,0,1,0,1,Naive
509,0,0,0,2,Naive
510,1,2,1,2,Naive
511,0,0,0,1,Naive
512,0,0,0,1,Naive
513,0,0,0,0,Naive
514,0,1,0,2,Naive
515,0,1,1,0,Naive
516,0,2,0,0,Naive
517,0,0,0,1,Naive
518,0,0,0,0,Naive
519,2,1,2,2,Naive
520,0,2,0,0,Naive
521,0,1,0,2,Naive
522,0,1,0,1,Naive
523,0,1,0,1,Naive
524,0,2,0,1,Naive
525,0,1,0,0,Naive
526,0,1,0,0,Naive
527,0,1,0,0,Naive
528,0,2,1,5,Naive
529,0,1,0,1,Naive
530,0,1,0,0,Naive
531,0,1,0,1,Naive
532,0,1,0,0,Naive
533,0,1,0,0,Naive
534,0,2,0,0,Naive
535,0,2,0,0,Naive
536,0,0,0,1,Naive
537,0,2,0,0,Naive
538,0,1,0,0,Naive
539,0,1,0,0,Naive
540,0,2,0,0,Naive
541,0,3,0,0,Naive
542,0,1,0,0,Naive
543,0,2,0,0,Naive
544,0,0,0,1,Naive
545,0,1,0,0,Naive
546,0,5,0,0,Naive
547,0,4,0,0,Naive
548,0,3,0,0,Naive
549,0,0,0,1,Naive
550,0,1,0,0,Naive
551,0,1,0,0,Naive
552,0,0,0,0,Naive
553,0,2,0,1,Naive
554,0,1,0,0,Naive
555,0,2,0,2,Naive
556,0,2,0,1,Naive
557,0,1,0,1,Naive
558,0,1,0,0,Naive
559,0,1,0,5,Naive
560,0,0,0,1,Naive
561,0,1,0,0,Naive
562,0,1,0,2,Naive
563,3,0,0,2,Naive
564,0,3,1,0,Naive
565,0,1,0,0,Naive
566,0,2,0,0,Naive
567,0,0,0,1,Naive
568,0,0,0,1,Naive
569,0,1,0,0,Naive
570,0,0,0,1,Naive
571,0,1,0,1,Naive
572,0,3,0,1,Naive
573,0,3,0,0,Naive
574,0,1,0,0,Naive
575,0,0,0,1,Naive
576,0,2,0,0,Naive
577,0,0,0,1,Naive
578,0,1,0,0,Naive
579,0,0,0,2,Naive
580,0,1,0,0,Naive
581,0,1,0,0,Naive
582,0,2,0,0,Naive
583,0,1,0,0,Naive
584,0,3,0,0,Naive
585,0,0,0,1,Naive
586,0,1,0,0,Naive
587,0,3,0,0,Naive
588,0,1,0,0,Naive
589,0,1,0,0,Naive
590,0,1,0,0,Naive
591,1,1,0,0,Naive
592,0,0,0,1,Naive
593,0,0,0,1,Naive
594,0,2,0,0,Naive
595,0,1,0,0,Naive
596,0,0,0,2,Naive
597,0,3,0,0,Naive
598,0,1,0,0,Naive
599,0,3,0,0,Naive
600,0,3,0,0,Naive
601,0,1,0,0,Naive
602,0,0,0,1,Naive
603,0,2,0,0,Naive
604,0,2,0,0,Naive
605,0,1,0,0,Naive
606,0,2,0,0,Naive
607,0,2,0,0,Naive
608,0,1,0,0,Naive
609,0,1,0,0,Naive
610,0,10,0,0,Naive
611,0,2,0,1,Naive
612,0,1,0,0,Naive
613,0,1,0,0,Naive
614,0,1,0,0,Naive
615,0,1,0,0,Naive
616,0,1,0,0,Naive
617,0,1,1,0,Naive
618,0,2,0,0,Naive
619,0,1,0,0,Naive
620,0,2,0,0,Naive
621,0,2,0,0,Naive
622,0,0,0,0,Naive
623,0,1,0,0,Naive
624,0,4,0,0,Naive
625,0,6,0,0,Naive
626,0,1,0,0,Naive
627,0,1,1,1,Naive
628,0,1,0,0,Naive
629,0,1,0,0,Naive
630,0,4,0,0,Naive
631,0,1,0,0,Naive
632,0,2,0,0,Naive
633,0,1,0,0,Naive
634,0,2,0,0,Naive
635,0,0,0,0,Naive
636,0,1,0,1,Naive
