,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
28,1,0,1,1,Naive
168,2,2,2,0,Naive
184,1,0,1,0,Naive
299,1,0,1,1,Naive
304,1,0,1,2,Naive
510,1,2,1,2,Naive
519,2,1,2,2,Naive
734,1,0,1,0,Naive
777,3,0,1,0,Naive
778,1,0,1,2,Naive
781,1,4,1,2,Naive
863,1,1,1,0,Naive
18,3,0,1,1,Infected
27,2,0,1,1,Infected
29,1,2,6,0,Infected
41,4,2,2,2,Infected
46,1,2,1,1,Infected
52,1,1,2,1,Infected
56,1,1,2,0,Infected
60,8,1,4,3,Infected
63,1,2,1,1,Infected
66,1,0,1,1,Infected
67,2,2,1,2,Infected
69,2,1,1,3,Infected
73,2,4,2,1,Infected
83,1,0,1,1,Infected
84,5,1,2,3,Infected
85,1,0,1,0,Infected
94,1,0,1,1,Infected
100,1,4,2,1,Infected
106,1,0,2,2,Infected
109,1,3,1,0,Infected
137,1,0,2,3,Infected
139,1,1,1,0,Infected
140,2,1,1,0,Infected
141,1,4,2,3,Infected
163,9,2,3,5,Infected
168,2,1,4,1,Infected
169,1,2,2,2,Infected
172,1,10,6,0,Infected
181,1,0,1,2,Infected
185,1,1,1,1,Infected
194,2,0,3,3,Infected
196,1,2,2,0,Infected
215,1,0,3,2,Infected
219,2,0,3,1,Infected
223,1,0,1,0,Infected
230,1,4,2,1,Infected
231,1,0,1,0,Infected
233,1,0,1,3,Infected
237,3,0,1,0,Infected
241,3,2,1,2,Infected
251,1,3,1,2,Infected
252,3,0,1,0,Infected
254,1,9,2,0,Infected
261,2,1,2,0,Infected
268,1,2,1,1,Infected
270,2,0,1,2,Infected
274,2,6,1,3,Infected
276,1,1,3,2,Infected
293,2,0,1,0,Infected
297,1,4,2,2,Infected
301,1,1,1,2,Infected
302,2,0,1,3,Infected
304,3,0,1,2,Infected
310,1,2,1,0,Infected
332,3,1,1,3,Infected
359,1,1,1,1,Infected
388,2,2,1,1,Infected
393,1,1,1,0,Infected
394,2,1,2,0,Infected
395,3,2,1,4,Infected
397,2,4,1,3,Infected
400,1,4,1,1,Infected
414,4,0,1,3,Infected
425,3,1,1,1,Infected
443,1,1,1,1,Infected
446,1,0,1,2,Infected
449,1,1,1,2,Infected
452,2,2,1,1,Infected
457,1,4,1,1,Infected
461,1,0,1,2,Infected
469,3,0,1,2,Infected
471,2,0,1,0,Infected
475,1,3,1,0,Infected
476,1,1,2,0,Infected
488,5,0,1,6,Infected
491,1,4,2,1,Infected
495,4,0,1,1,Infected
511,1,6,2,2,Infected
515,1,0,1,1,Infected
519,1,1,1,0,Infected
533,2,0,1,0,Infected
535,4,0,3,4,Infected
537,4,0,1,1,Infected
660,4,1,1,3,Infected
667,1,0,1,1,Infected
675,2,0,1,2,Infected
697,3,2,1,1,Infected
711,1,0,3,3,Infected
722,2,2,2,6,Infected
727,6,0,1,6,Infected
732,2,1,8,0,Infected
737,2,2,3,5,Infected
752,1,1,1,2,Infected
764,4,1,1,0,Infected
784,5,5,1,1,Infected
805,3,0,1,1,Infected
830,2,2,1,5,Infected
838,1,3,8,3,Infected
857,1,1,1,2,Infected
863,2,2,5,0,Infected
870,1,2,3,1,Infected
878,1,1,3,3,Infected
886,3,1,1,2,Infected
906,1,7,1,0,Infected
907,1,1,1,3,Infected
912,1,3,1,1,Infected
916,1,6,7,0,Infected
918,1,5,3,2,Infected
932,1,1,1,1,Infected
935,1,1,2,2,Infected
938,1,0,3,0,Infected
942,1,1,1,0,Infected
947,1,1,4,1,Infected
957,1,0,1,3,Infected
958,2,0,2,1,Infected
959,1,4,1,2,Infected
960,1,2,2,3,Infected
964,1,1,1,0,Infected
983,1,2,1,1,Infected
1060,1,0,1,0,Infected
1075,1,0,2,2,Infected
1077,1,0,1,0,Infected
1082,2,0,1,1,Infected
1141,1,9,1,0,Infected
1159,1,2,1,1,Infected
1291,1,0,1,1,Infected
1397,2,0,1,2,Infected
1505,2,0,1,3,Infected
1790,2,0,1,8,Infected
1804,1,8,1,2,Infected
1839,1,0,1,2,Infected
1849,2,0,1,0,Infected
1856,2,0,2,1,Infected
1858,3,10,2,0,Infected
1882,1,1,1,4,Infected
1945,3,2,1,1,Infected
2096,1,3,1,1,Infected
2161,1,1,1,3,Infected
2162,1,0,1,2,Infected
2169,2,0,1,4,Infected
2185,1,0,1,0,Infected
2196,1,4,1,1,Infected
2204,5,1,1,1,Infected
2266,1,2,1,0,Infected
2280,1,1,1,0,Infected
2291,1,0,2,2,Infected
2295,1,0,1,1,Infected
2356,1,2,3,0,Infected
2369,1,3,1,3,Infected
2379,1,0,2,0,Infected
2381,5,2,2,1,Infected
2390,1,3,2,1,Infected
2415,2,1,3,2,Infected
2435,1,4,3,0,Infected
2499,1,2,2,1,Infected
2502,1,0,1,0,Infected
2505,1,1,1,0,Infected
2590,1,0,2,2,Infected
2886,6,0,1,4,Infected
3049,1,1,1,2,Infected
3055,1,2,1,1,Infected
3189,2,0,1,1,Infected
