,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
0,0.0,2354.6814,0.0,1425.9883,Naive
4,0.0,816.5,0.0,1060.3033,Naive
31,0.0,830.7839,0.0,2094.9822,Naive
32,1324.9419,2919.2744,0.0,688.0203,Naive
37,3266.4865,2734.2622,0.0,1261.8263,Naive
45,0.0,908.8387,0.0,908.0996,Naive
46,0.0,2008.0051,0.0,1073.8625,Naive
55,1460.4044,2219.0537999999997,0.0,3189.1913000000004,Naive
85,0.0,994.0859,0.0,1234.0612,Naive
90,0.0,1875.8325,0.0,790.7055,Naive
116,1231.1182,2918.97,0.0,3337.2897,Naive
119,0.0,2505.0667,0.0,823.1393,Naive
130,0.0,1930.1616999999999,0.0,632.6448,Naive
131,0.0,569.9321,0.0,562.8953,Naive
133,597.5569,2893.2816,0.0,1545.7716999999998,Naive
134,0.0,665.5643,0.0,506.2015,Naive
135,635.6453,2014.4467,0.0,1048.6765,Naive
136,0.0,1399.3265000000001,0.0,512.9301,Naive
140,0.0,1394.3443,0.0,534.3672,Naive
141,0.0,1425.0453000000002,0.0,1081.7711,Naive
142,0.0,2602.2914,0.0,490.198,Naive
143,0.0,1447.667,0.0,4338.8904999999995,Naive
148,0.0,760.2205,0.0,577.376,Naive
149,0.0,2792.7167,0.0,1218.0702,Naive
151,0.0,2068.2908,0.0,1552.7334,Naive
154,529.4922,1395.9052000000001,0.0,1000.6624,Naive
155,0.0,2870.652,0.0,1148.454,Naive
156,0.0,696.7584,0.0,1539.3444,Naive
161,1852.4782,1324.7184,0.0,511.4904,Naive
162,0.0,2627.5474999999997,0.0,1016.1477,Naive
163,780.8324,613.9652,0.0,743.6923,Naive
167,0.0,1342.6263,0.0,2602.4967,Naive
170,0.0,6639.8333,0.0,1576.4189000000001,Naive
171,0.0,2086.7991,0.0,2075.1885,Naive
172,0.0,4913.9773000000005,0.0,509.8524,Naive
173,677.3137,2144.5137,0.0,1582.3287,Naive
174,0.0,3208.2319,0.0,3670.1875,Naive
176,0.0,3973.8746,0.0,2098.3879,Naive
179,0.0,7040.153699999999,0.0,2552.1093,Naive
180,0.0,3429.1557000000003,0.0,3110.8891000000003,Naive
181,0.0,2092.3346,0.0,2598.022,Naive
182,0.0,1292.8986,0.0,1074.8551,Naive
183,2141.1186,4218.5019,0.0,1543.8151,Naive
185,0.0,1406.1069,0.0,3119.5446,Naive
186,1048.9235,1434.6923000000002,0.0,2107.8004,Naive
187,0.0,1377.4487,0.0,520.8955,Naive
188,0.0,3076.5405000000005,0.0,4784.7002,Naive
189,0.0,2091.7424,0.0,2743.3778,Naive
192,0.0,1408.1225,0.0,3193.3087,Naive
193,0.0,2029.3395999999998,0.0,2609.3990000000003,Naive
197,0.0,1513.9572,0.0,1060.4922,Naive
198,0.0,569.4182,0.0,543.478,Naive
200,821.9026,1380.4117999999999,0.0,2633.4596,Naive
202,0.0,1454.9328,0.0,2110.8004,Naive
204,0.0,644.3919,0.0,1057.4624999999999,Naive
206,0.0,1273.2309,0.0,2600.5546999999997,Naive
207,0.0,2796.825,0.0,1572.5056,Naive
208,1116.8679,745.9143,0.0,514.3127,Naive
209,0.0,720.7126,0.0,1502.5258000000001,Naive
211,0.0,2254.0281,0.0,3670.6723,Naive
213,0.0,2748.2054,0.0,2083.6795,Naive
214,0.0,2861.9771,0.0,522.4648,Naive
216,0.0,2396.508,0.0,2038.2976,Naive
217,0.0,3511.1903,0.0,2095.1577,Naive
218,0.0,1372.0936,2519.0877,1518.1327999999999,Naive
219,0.0,690.3475,0.0,2017.2089,Naive
220,0.0,701.6132,0.0,1544.241,Naive
221,0.0,2126.8226,0.0,1621.0120000000002,Naive
225,0.0,685.408,0.0,1566.8096,Naive
230,0.0,699.3986,0.0,1591.8586,Naive
231,0.0,4220.7564999999995,0.0,3107.6584,Naive
233,0.0,4161.803400000001,0.0,545.5917,Naive
236,0.0,868.8465,0.0,1141.1633000000002,Naive
237,0.0,661.988,0.0,2633.3388999999997,Naive
238,0.0,1642.1796,0.0,1532.9898,Naive
239,0.0,3609.2088000000003,0.0,540.9371,Naive
241,759.528,1674.8,0.0,776.5099,Naive
245,0.0,4209.597299999999,0.0,1564.1199000000001,Naive
246,0.0,2105.9811999999997,0.0,1037.1759,Naive
250,0.0,660.3833,0.0,516.868,Naive
279,1556.6255,1978.9680000000003,0.0,860.7451,Naive
308,0.0,1991.2269999999999,0.0,600.5492,Naive
334,0.0,1728.2812,0.0,1649.7589,Naive
336,0.0,1642.519,0.0,1220.5775,Naive
338,0.0,1734.1628,0.0,1259.3314,Naive
342,0.0,1903.6935,0.0,1760.3761,Naive
350,914.232,921.3181,0.0,1047.4938,Naive
377,0.0,1519.5581,0.0,8938.074,Naive
381,0.0,910.454,0.0,2451.4056,Naive
391,0.0,3133.0696,0.0,896.0413,Naive
398,0.0,1033.8743,0.0,639.9259,Naive
411,0.0,1455.9265,0.0,1028.8835,Naive
461,0.0,4591.3817,0.0,1142.7596,Naive
490,0.0,2838.3238,0.0,1290.0092,Naive
665,0.0,2506.1132,0.0,848.2977,Naive
684,652.1429,3174.5987999999998,0.0,835.1951,Naive
758,2239.0585,1780.0637,812.0704,5081.0063,Naive
776,3206.3909000000003,2756.1273,1937.5356,1761.5928,Naive
851,0.0,1820.376,0.0,1744.5729000000001,Naive
854,0.0,3600.8644000000004,0.0,1654.5268,Naive
855,0.0,2453.0579,0.0,1679.5724,Naive
856,0.0,1629.439,0.0,1034.1382,Naive
862,0.0,7093.6059,0.0,823.88,Naive
866,0.0,2938.5176,0.0,973.7012,Naive
888,0.0,972.9016,0.0,1323.3939,Naive
889,0.0,1795.3043,0.0,2684.5887,Naive
1013,0.0,623.4932,0.0,1629.0397,Naive
1036,0.0,1737.4034,1018.5763,1114.2582,Naive
1049,0.0,2252.1284,0.0,975.6039,Naive
1061,0.0,1319.4012,0.0,1019.1548,Naive
1073,0.0,1757.5172,0.0,2841.1158,Naive
1103,1813.5714,961.9244,0.0,813.7727,Naive
1129,0.0,808.4919,0.0,1721.0059999999999,Naive
1131,0.0,2246.8726,0.0,892.8045,Naive
1151,0.0,2413.9548,0.0,1156.1147,Naive
1152,0.0,3506.5901999999996,0.0,1583.8884,Naive
1156,0.0,872.8205,0.0,933.8066,Naive
1170,869.0833,1417.7368,0.0,3301.3233999999998,Naive
1199,0.0,2714.6661999999997,0.0,5616.1658,Naive
1201,0.0,1383.6167,0.0,5739.8552,Naive
1209,1792.725,655.3882,0.0,1948.7494000000002,Naive
1298,0.0,917.2868,0.0,1272.7751,Naive
1340,833.2161,3438.3659000000002,2872.6486999999997,1676.1143,Naive
1371,0.0,2927.4996,1201.2146,919.0609,Naive
1402,1354.2227,855.8041,0.0,1543.5254,Naive
1436,0.0,1650.4652999999998,640.3098,1127.9854,Naive
1438,1719.6343,1603.9565,0.0,4157.0142,Naive
1491,0.0,1172.4473,666.8552,1603.9747000000002,Naive
1580,0.0,1236.745,2148.533,3451.3438,Naive
4,2512.9417,802.8041,0.0,2681.7898,Infected
8,0.0,786.1203,1849.8040999999998,1238.2842,Infected
10,2034.1827,2304.3228,0.0,805.2078,Infected
11,0.0,2038.8826,942.29,2148.062,Infected
12,0.0,965.2444,1775.6061,1001.6491,Infected
23,0.0,4919.0149,0.0,1425.4926,Infected
24,0.0,723.5862,0.0,762.2881,Infected
25,0.0,1844.3976,0.0,2127.9917,Infected
28,1412.3525,716.374,0.0,2826.9458,Infected
41,0.0,738.2695,2532.5076,1672.3639,Infected
42,6962.4565,1556.1728,5174.1619,2123.6836,Infected
