,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
0,0,3,0,1,Naive
3,0,1,0,1,Naive
19,0,1,0,1,Naive
20,1,1,0,1,Naive
24,2,2,0,1,Naive
26,0,1,0,1,Naive
27,0,1,0,1,Naive
31,1,2,0,2,Naive
55,0,1,0,1,Naive
60,0,2,0,1,Naive
76,1,1,0,2,Naive
78,0,3,0,1,Naive
90,0,4,2,1,Naive
92,0,3,2,1,Naive
107,0,2,2,1,Naive
113,0,2,1,2,Naive
115,0,1,1,1,Naive
125,0,3,3,1,Naive
135,0,6,3,2,Naive
138,0,2,4,1,Naive
150,0,1,0,1,Naive
151,0,2,5,1,Naive
158,0,1,1,1,Naive
165,0,2,0,1,Naive
191,0,2,1,1,Naive
193,0,3,0,1,Naive
221,0,1,0,1,Naive
223,0,1,0,2,Naive
224,0,4,0,1,Naive
228,0,3,1,1,Naive
229,0,4,0,1,Naive
230,0,3,0,2,Naive
233,0,3,0,2,Naive
251,0,2,0,1,Naive
252,0,9,0,1,Naive
258,0,2,0,1,Naive
260,0,1,0,1,Naive
264,0,2,0,2,Naive
269,0,3,0,1,Naive
271,0,5,0,1,Naive
282,0,2,0,2,Naive
284,0,1,0,1,Naive
285,0,2,0,1,Naive
288,0,1,0,1,Naive
296,0,1,1,1,Naive
316,0,1,0,6,Naive
319,0,1,0,2,Naive
328,0,3,0,1,Naive
333,0,1,0,1,Naive
346,0,1,0,1,Naive
354,0,4,0,1,Naive
364,0,2,0,1,Naive
384,0,2,0,1,Naive
393,0,3,1,1,Naive
394,0,8,0,1,Naive
409,0,1,0,2,Naive
441,0,1,0,1,Naive
467,0,2,0,2,Naive
468,0,1,0,1,Naive
471,0,3,0,1,Naive
476,3,1,0,1,Naive
491,0,1,0,1,Naive
495,0,4,0,1,Naive
501,0,1,0,1,Naive
506,0,3,0,2,Naive
508,0,1,0,1,Naive
510,1,2,1,2,Naive
514,0,1,0,2,Naive
519,2,1,2,2,Naive
521,0,1,0,2,Naive
522,0,1,0,1,Naive
523,0,1,0,1,Naive
524,0,2,0,1,Naive
528,0,2,1,5,Naive
529,0,1,0,1,Naive
531,0,1,0,1,Naive
553,0,2,0,1,Naive
